,매매희망가격,매매희망가격,매매희망가격,매매희망가격,매매희망가격,매매희망가격,매매희망가격,매매희망가격,면적1,면적1,면적1,면적1,면적1,면적1,면적1,면적1,면적2,면적2,면적2,면적2,면적2,면적2,면적2,면적2,방수,방수,방수,방수,방수,방수,방수,방수,욕실수,욕실수,욕실수,욕실수,욕실수,욕실수,욕실수,욕실수,중개보수,중개보수,중개보수,중개보수,중개보수,중개보수,중개보수,중개보수,취득세,취득세,취득세,취득세,취득세,취득세,취득세,취득세
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
지역2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강남구,3650.0,1109467945.2054794,596404758.5290134,160000000.0,750000000.0,990000000.0,1300000000.0,6700000000.0,3650.0,133.8266876712329,55.5645506286071,33.69,103.715,115.7,156.18,618.0,3650.0,103.25698356164384,41.33473879982184,0.0,83.04,84.99,127.1875,273.88,3397.0,3.3497203414777745,0.798727682735095,1.0,3.0,3.0,4.0,6.0,3397.0,1.8286723579629085,0.46054178685165725,1.0,2.0,2.0,2.0,4.0,3650.0,9777216.438356165,5623816.829836098,800000.0,6750000.0,8910000.0,11700000.0,60300000.0,3650.0,34253479.45205479,24077013.80703876,1760000.0,16720000.0,33250000.0,45500000.0,234500000.0
강동구,892.0,563718049.3273543,169825936.96422035,215000000.0,449500000.0,530500000.0,660000000.0,1415000000.0,892.0,100.42103139013453,41.060536834414705,26.44,79.33,102.47,112.39750000000001,426.44,892.0,81.50706278026904,28.46835682664304,0.0,59.93,83.86000000000001,92.49,266.14,881.0,2.9443813847900113,0.620002463205069,1.0,3.0,3.0,3.0,6.0,881.0,1.503972758229285,0.5047907930138862,1.0,1.0,2.0,2.0,3.0,892.0,3687500.0,2463630.6561863143,860000.0,1797500.0,2120000.0,5940000.0,12740000.0,892.0,9839562.780269058,6875457.444590356,2370000.0,4950000.0,6000000.0,15070000.0,49530000.0
강북구,348.0,352525862.0689655,69192975.92329825,175000000.0,310000000.0,350500000.0,400000000.0,605000000.0,348.0,104.52031609195402,23.65682838621041,56.19,81.43,107.135,111.32,165.29,348.0,80.483591954023,21.00704370756575,41.3,59.98,84.76,84.95,129.78,347.0,3.126801152737752,0.4821098538845065,2.0,3.0,3.0,3.0,4.0,347.0,1.8386167146974064,0.3684153537775023,1.0,2.0,2.0,2.0,2.0,348.0,1419626.4367816092,345675.01285921835,800000.0,1240000.0,1400000.0,1600000.0,5450000.0,348.0,4054339.0804597703,1097407.4084585842,1930000.0,3410000.0,3880000.0,4730000.0,14520000.0
강서구,885.0,438685310.7344633,148441079.49831113,162000000.0,330000000.0,430000000.0,530000000.0,930000000.0,885.0,105.57018079096045,32.52996917516851,46.28,80.48,105.78,115.11,233.81,885.0,80.82627118644068,27.530890353142997,0.0,59.94,84.85,84.99,165.83,870.0,3.004597701149425,0.6612587024540653,1.0,3.0,3.0,3.0,5.0,870.0,1.7080459770114942,0.47229781100439067,1.0,1.0,2.0,2.0,3.0,885.0,2267288.13559322,1732348.7611426227,800000.0,1320000.0,1720000.0,2120000.0,8370000.0,885.0,6190723.163841808,4533483.4899187125,1780000.0,3630000.0,4730000.0,6050000.0,32550000.0
관악구,447.0,414355704.6979866,90838402.35794546,155000000.0,350000000.0,415000000.0,471000000.0,700000000.0,447.0,105.44078299776287,23.521670345512007,46.28,82.64,105.78,113.67,175.2,447.0,81.07252796420582,20.689140543294215,0.0,59.96,84.75,84.97,138.74,437.0,3.0617848970251718,0.5653037824644592,1.0,3.0,3.0,3.0,4.0,437.0,1.6796338672768878,0.46715207192082336,1.0,1.0,2.0,2.0,2.0,447.0,1753870.2460850112,779406.1849019369,780000.0,1400000.0,1660000.0,1885000.0,6300000.0,447.0,4921789.709172259,2057157.7807865909,1710000.0,3850000.0,4620000.0,5500000.0,16800000.0
광진구,475.0,665012631.5789474,249514346.52702242,255000000.0,500000000.0,600000000.0,705000000.0,1680000000.0,475.0,123.10244210526317,38.86197321233225,69.42,105.78,109.09,125.62,254.54,475.0,95.67326315789474,33.986618943011045,51.57,84.03999999999999,84.91,107.75,226.45,473.0,3.1374207188160677,0.7131745294702241,2.0,3.0,3.0,3.0,5.0,473.0,1.809725158562368,0.46229728555805927,1.0,2.0,2.0,2.0,3.0,475.0,4775094.736842105,3185093.468392788,1020000.0,2000000.0,5400000.0,6345000.0,15120000.0,475.0,14180547.368421054,12479234.672526676,2810000.0,5500000.0,6600000.0,15840000.0,58800000.0
구로구,1035.0,417240096.6183575,163020232.82832918,140000000.0,315000000.0,380000000.0,460000000.0,1650000000.0,1035.0,107.29439613526571,27.21974782152993,52.89,85.95,107.67,114.93,262.67,1035.0,82.3988115942029,23.05150598298134,36.89,59.97,84.78,84.98,186.74,1031.0,3.129000969932105,0.5537540646141825,2.0,3.0,3.0,3.0,5.0,1031.0,1.702230843840931,0.48630254382957167,1.0,1.0,2.0,2.0,3.0,1035.0,2138096.618357488,1879281.9707711602,700000.0,1260000.0,1520000.0,1840000.0,14850000.0,1035.0,5903159.420289855,5356566.621060222,1540000.0,3470000.0,4180000.0,5170000.0,57750000.0
금천구,254.0,345437007.87401575,88188140.87064815,175000000.0,291250000.0,342000000.0,380000000.0,770000000.0,254.0,110.6746062992126,26.339840284406122,49.58,87.6,105.78,139.0125,189.16,254.0,85.95562992125984,22.583687478254404,39.64,61.14,84.95,110.375,150.72,251.0,3.1792828685258963,0.5474751899998197,2.0,3.0,3.0,4.0,4.0,251.0,1.7211155378486056,0.44934658182477544,1.0,1.0,2.0,2.0,2.0,254.0,1426102.3622047245,637604.3395620751,800000.0,1165000.0,1370000.0,1520000.0,6930000.0,254.0,4134133.8582677166,1820836.1014911132,1930000.0,3205000.0,3850000.0,4650000.0,18480000.0
